policy,family,market_key,selection,tier,tau1,tau2,tau3,trust,active,description
P0_flat_benchmark,1X2_home,1X2,home,tier1,0.3,0.3,0.0,0.3,true,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,1X2_draw,1X2,draw,tier2,0.3,0.3,0.0,0.3,true,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,1X2_away,1X2,away,tier2,0.3,0.3,0.0,0.3,true,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,O/U 0.5_over_05,OU0.5,over_05,excluded,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,O/U 0.5_under_05,OU0.5,under_05,excluded,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,O/U 1.5_over_15,OU1.5,over_15,excluded,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,O/U 1.5_under_15,OU1.5,under_15,tier3,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,O/U 2.5_over_25,OU2.5,over_25,excluded,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,O/U 2.5_under_25,OU2.5,under_25,tier1,0.3,0.3,0.0,0.3,true,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,O/U 3.5_over_35,OU3.5,over_35,tier3,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,O/U 3.5_under_35,OU3.5,under_35,excluded,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,BTTS_btts_yes,BTTS,btts_yes,excluded,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P0_flat_benchmark,BTTS_btts_no,BTTS,btts_no,excluded,0.3,0.3,0.0,0.0,false,"Flat asymmetric core: Home, Draw, Away, Under 2.5 all at tau=0.30; every other direction at 0.00. Reproduces the standing champion (m12 +143.91%, Sharpe 1.516)."
P1_conservative_tilt,1X2_home,1X2,home,tier1,0.35,0.25,0.0,0.35,true,"Tier 1 (Under 2.5, Home) at 0.35; Tier 2 (Draw, Away) at 0.25."
P1_conservative_tilt,1X2_draw,1X2,draw,tier2,0.35,0.25,0.0,0.25,true,"Tier 1 (Under 2.5, Home) at 0.35; Tier 2 (Draw, Away) at 0.25."
P1_conservative_tilt,1X2_away,1X2,away,tier2,0.35,0.25,0.0,0.25,true,"Tier 1 (Under 2.5, Home) at 0.35; Tier 2 (Draw, Away) at 0.25."
